,,count,count,count,count,count,count,count,count,count,count,count,count,count,count,count,count,count,count,count,count,count,count,count,count,count,count,count,count,count,count,count,count,count,count,count,count,count,count,count,count,count,count,count,count,count,count,count,count,count,count,count,count,count,count,count,count,count,count,count,count,count,count,count,count,count,count,count,count,count,count,count,count,count,count,count,count,count,count,count,count,count,count,count,count
dt_15,,2000-01-01 03:00:00-08:00,2000-01-01 03:15:00-08:00,2000-01-01 03:30:00-08:00,2000-01-01 03:45:00-08:00,2000-01-01 04:00:00-08:00,2000-01-01 04:15:00-08:00,2000-01-01 04:30:00-08:00,2000-01-01 04:45:00-08:00,2000-01-01 05:00:00-08:00,2000-01-01 05:15:00-08:00,2000-01-01 05:30:00-08:00,2000-01-01 05:45:00-08:00,2000-01-01 06:00:00-08:00,2000-01-01 06:15:00-08:00,2000-01-01 06:30:00-08:00,2000-01-01 06:45:00-08:00,2000-01-01 07:00:00-08:00,2000-01-01 07:15:00-08:00,2000-01-01 07:30:00-08:00,2000-01-01 07:45:00-08:00,2000-01-01 08:00:00-08:00,2000-01-01 08:15:00-08:00,2000-01-01 08:30:00-08:00,2000-01-01 08:45:00-08:00,2000-01-01 09:00:00-08:00,2000-01-01 09:15:00-08:00,2000-01-01 09:30:00-08:00,2000-01-01 09:45:00-08:00,2000-01-01 10:00:00-08:00,2000-01-01 10:15:00-08:00,2000-01-01 10:30:00-08:00,2000-01-01 10:45:00-08:00,2000-01-01 11:00:00-08:00,2000-01-01 11:15:00-08:00,2000-01-01 11:30:00-08:00,2000-01-01 11:45:00-08:00,2000-01-01 12:00:00-08:00,2000-01-01 12:15:00-08:00,2000-01-01 12:30:00-08:00,2000-01-01 12:45:00-08:00,2000-01-01 13:00:00-08:00,2000-01-01 13:15:00-08:00,2000-01-01 13:30:00-08:00,2000-01-01 13:45:00-08:00,2000-01-01 14:00:00-08:00,2000-01-01 14:15:00-08:00,2000-01-01 14:30:00-08:00,2000-01-01 14:45:00-08:00,2000-01-01 15:00:00-08:00,2000-01-01 15:15:00-08:00,2000-01-01 15:30:00-08:00,2000-01-01 15:45:00-08:00,2000-01-01 16:00:00-08:00,2000-01-01 16:15:00-08:00,2000-01-01 16:30:00-08:00,2000-01-01 16:45:00-08:00,2000-01-01 17:00:00-08:00,2000-01-01 17:15:00-08:00,2000-01-01 17:30:00-08:00,2000-01-01 17:45:00-08:00,2000-01-01 18:00:00-08:00,2000-01-01 18:15:00-08:00,2000-01-01 18:30:00-08:00,2000-01-01 18:45:00-08:00,2000-01-01 19:00:00-08:00,2000-01-01 19:15:00-08:00,2000-01-01 19:30:00-08:00,2000-01-01 19:45:00-08:00,2000-01-01 20:00:00-08:00,2000-01-01 20:15:00-08:00,2000-01-01 20:30:00-08:00,2000-01-01 20:45:00-08:00,2000-01-01 21:00:00-08:00,2000-01-01 21:15:00-08:00,2000-01-01 21:30:00-08:00,2000-01-01 21:45:00-08:00,2000-01-01 22:00:00-08:00,2000-01-01 22:15:00-08:00,2000-01-01 22:30:00-08:00,2000-01-01 22:45:00-08:00,2000-01-01 23:00:00-08:00,2000-01-01 23:15:00-08:00,2000-01-01 23:30:00-08:00,2000-01-01 23:45:00-08:00
CentroidID_O,CentroidID_D,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,1,0,0,0,0,0,0,1,0,0,0,0,0,4,1,3,3,4,4,3,4,7,7,14,17,23,24,36,57,43,55,68,62,68,55,62,48,36,39,26,31,30,19,23,35,23,32,17,32,30,28,29,31,20,23,20,27,27,29,19,23,20,24,26,24,18,32,12,25,14,28,23,24,15,20,19,17,12,10,9,13,10,15,10,3
4,2,0,0,0,0,0,3,0,0,1,0,0,1,6,3,6,1,3,3,3,3,6,11,16,15,16,25,18,34,41,43,59,41,46,52,37,29,33,32,36,23,28,44,32,41,20,41,29,40,30,41,27,36,46,31,33,33,42,38,35,38,33,58,43,48,35,37,37,50,40,37,40,39,30,45,32,26,22,32,25,26,17,24,23,8
4,3,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,2,2,2,1,0,0,3,1,1,2,8,5,19,9,9,6,11,8,12,8,15,9,4,12,17,9,14,11,15,7,12,6,11,3,14,14,7,19,20,18,14,12,13,12,22,13,30,18,16,10,18,10,25,21,23,14,20,8,16,12,10,16,14,11,10,5,2
4,4,0,0,0,1,0,0,0,0,0,0,0,0,2,0,0,0,1,3,1,3,2,1,8,15,10,11,14,21,19,24,22,23,26,25,23,19,16,19,13,17,11,23,18,14,23,18,16,21,10,20,18,15,23,21,13,19,20,19,21,22,19,25,30,28,27,17,19,22,24,29,26,19,17,22,18,22,19,20,9,12,4,21,12,11
4,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,1,0,0,2,0,0,2,0,0,1,0,1,0,1,1,0,1,0,0,0,1,2,1,1,1,1,0,1,1,0,0,1,1,0,1,0,0,0,0,0,1,0,0
4,6,0,0,0,1,0,2,0,0,1,1,1,0,2,1,2,2,3,2,1,2,3,3,3,7,5,11,16,22,27,28,34,36,32,43,35,34,25,30,19,20,30,48,23,37,32,43,23,47,42,52,25,41,39,56,34,52,39,62,48,54,57,63,56,65,58,43,50,59,60,55,62,64,58,46,50,49,36,41,31,46,30,33,23,14
4,7,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2,0,1,0,0,0,1,3,3,1,3,3,9,6,6,7,4,7,10,7,12,6,4,6,4,17,7,7,12,12,18,8,17,9,14,13,13,12,18,12,18,15,15,15,19,17,28,30,21,18,22,15,19,17,21,18,27,15,17,14,18,6,17,12,21,6,12,5,3
4,8,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,1,1,2,3,4,8,5,17,17,45,70,57,45,68,59,65,65,35,29,23,27,20,14,17,16,24,19,25,21,19,25,26,25,21,15,13,20,22,20,16,17,18,17,17,21,25,24,27,26,23,27,37,17,21,25,27,15,15,18,14,19,13,15,10,9,9,3
